,Age,Borough,Interests,Biography
0,2,BROOKLYN,"['Food and Agriculture', 'Food and Agriculture', 'Technology and Innovation']","[['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['Helping people with technology is really cool to me.']]"
1,1,MANHATTAN,"['Environment and Climate change', 'Recreation and Leisure', 'Education']","[['I participated in several nature cleaning activities.'], ['I participated in several nature cleaning activities.'], ['I think play and sports are important for children’s development.'], ['I worked as a guitarist in a local restaurant for six months.'], ['I believe everyone should have the right to go to school.'], ['I would like to teach children subjects such as math and science.']]"
2,1,BRONX,"['Technology and Innovation', 'Outreach and Advertising']","[['Teaching basic internet applications to people and helping them with smart technology.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['Throughout my university years, I was the outreach coordinator for my program.']]"
3,1,QUEENS,"['Environment and Climate change', 'Outreach and Advertising', 'Food and Agriculture']","[['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I like to engage in community service and help people advertise themselves to the public.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I think everyone should have access to enough to eat to be healthy.']]"
4,1,QUEENS,['Child services'],"[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I really care about making the world safer for kids.']]"
5,1,MANHATTAN,"['Education', 'Health services', 'Environment and Climate change']","[['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.']]"
6,1,QUEENS,"['Education', 'Social services']","[['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.']]"
7,1,QUEENS,"['Health services', 'Food and Agriculture', 'Advocacy and Justice']","[['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I enjoy helping and caring for people within my community.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I take social issues such as gender discrimination very seriously and want to create an equitable society.'], ['I helped with organising several conferences and workshops related to women rights']]"
8,1,QUEENS,['Food and Agriculture'],"[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I imagine serving free food and vegetables in our local community shop.']]"
9,1,QUEENS,"['Child services', 'Child services']","[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['For two weeks during winter break, I volunteered full-time at a day care.']]"
10,1,STATEN IS,"['Recreation and Leisure', 'Recreation and Leisure', 'Recreation and Leisure']","[['Last summer, I coached a U16 girls soccer team.'], ['I think play and sports are important for children’s development.'], ['I think play and sports are important for children’s development.'], ['I am really passionate about sports and want to teach them to other people.'], ['I want to host outdoor events in my community to promote active living.'], ['I am really passionate about sports and want to teach them to other people.']]"
11,1,BROOKLYN,"['Advocacy and Justice', 'Outreach and Advertising']","[['I want to organize events aimed to raise awareness to socio-economic inequalities within our society '], ['I helped with organising several conferences and workshops related to women rights'], ['I really want to interact with the public.'], ['I want to promote upcoming events hosted by local businesses or artists.']]"
12,1,QUEENS,"['Education', 'Advocacy and Justice']","[['I would like to teach children subjects such as math and science.'], ['I believe everyone should have the right to go to school.'], ['I want to make a difference in the world.'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.']]"
13,0,QUEENS,"['Environment and Climate change', 'Food and Agriculture']","[['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.']]"
14,1,MANHATTAN,['Education'],"[['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.']]"
15,1,BROOKLYN,['Outreach and Advertising'],"[['I like to engage in community service and help people advertise themselves to the public.'], ['I really want to interact with the public.']]"
16,1,MANHATTAN,"['Social services', 'Health services']","[['I really care about helping other people.'], ['I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.'], ['I enjoy helping and caring for people within my community.'], ['I enjoy helping and caring for people within my community.']]"
17,1,MANHATTAN,"['Advocacy and Justice', 'Outreach and Advertising']","[['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I helped with organising several conferences and workshops related to women rights'], ['Contributing in small startups and equipping people with the right resources.'], ['I want to promote upcoming events hosted by local businesses or artists.']]"
18,1,BROOKLYN,"['Education', 'Education', 'Outreach and Advertising']","[['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I really want to interact with the public.'], ['I really want to interact with the public.']]"
19,2,BROOKLYN,"['Technology and Innovation', 'Environment and Climate change', 'Child services']","[['Helping people with technology is really cool to me.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['I participated in several nature cleaning activities.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['For two weeks during winter break, I volunteered full-time at a day care.']]"
20,1,BRONX,['Social services'],"[['I imagine helping and fostering senior citizens with their daily needs.'], ['I helped with preparing food for the homeless']]"
21,1,MANHATTAN,"['Recreation and Leisure', 'Environment and Climate change']","[['I think play and sports are important for children’s development.'], ['I am really passionate about sports and want to teach them to other people.'], ['Environmental degradation needs to be stopped.'], ['I participated in several nature cleaning activities.']]"
22,1,MANHATTAN,"['Education', 'Child services', 'Social services']","[['I would like to teach children subjects such as math and science.'], ['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.']]"
23,1,BROOKLYN,['Recreation and Leisure'],"[['Last summer, I coached a U16 girls soccer team.'], ['I think play and sports are important for children’s development.']]"
24,1,BRONX,['Technology and Innovation'],"[['Teaching basic internet applications to people and helping them with smart technology.'], ['I hope to salvage old computers and repurpose them into something new and usable.']]"
25,1,MANHATTAN,"['Outreach and Advertising', 'Child services', 'Environment and Climate change']","[['Contributing in small startups and equipping people with the right resources.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I really care about making the world safer for kids.'], ['It is so fun working with kids and I love playing with them.'], ['I participated in several nature cleaning activities.'], ['Environmental degradation needs to be stopped.']]"
26,1,STATEN IS,"['Child services', 'Recreation and Leisure']","[['I provided support for the child and family during the child abuse investigation process.'], ['It is so fun working with kids and I love playing with them.'], ['I think play and sports are important for children’s development.'], ['Helping conduct swimming and other field games and mentoring team-spirit.']]"
27,2,QUEENS,['Food and Agriculture'],"[['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.']]"
28,0,STATEN IS,"['Child services', 'Food and Agriculture', 'Education']","[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.']]"
29,1,BROOKLYN,"['Outreach and Advertising', 'Environment and Climate change']","[['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['Contributing in small startups and equipping people with the right resources.'], ['Environmental degradation needs to be stopped.'], ['I participated in several nature cleaning activities.']]"
30,1,BROOKLYN,['Outreach and Advertising'],"[['I want to promote upcoming events hosted by local businesses or artists.'], ['I really want to interact with the public.']]"
31,0,BROOKLYN,"['Outreach and Advertising', 'Social services', 'Recreation and Leisure']","[['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I helped with preparing food for the homeless'], ['I really care about helping other people.'], ['Helping conduct swimming and other field games and mentoring team-spirit.'], ['I am really passionate about sports and want to teach them to other people.']]"
32,1,MANHATTAN,['Environment and Climate change'],"[['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.']]"
33,1,BRONX,"['Outreach and Advertising', 'Outreach and Advertising', 'Outreach and Advertising']","[['I really want to interact with the public.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I like to engage in community service and help people advertise themselves to the public.'], ['I really want to interact with the public.'], ['Contributing in small startups and equipping people with the right resources.'], ['I want to promote upcoming events hosted by local businesses or artists.']]"
34,2,MANHATTAN,['Outreach and Advertising'],"[['I want to promote upcoming events hosted by local businesses or artists.'], ['I really want to interact with the public.']]"
35,1,BROOKLYN,['Social services'],"[['I helped with preparing food for the homeless'], ['I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.']]"
36,1,QUEENS,['Advocacy and Justice'],"[['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']]"
37,1,QUEENS,"['Technology and Innovation', 'Health services']","[['I hope to salvage old computers and repurpose them into something new and usable.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I enjoy helping and caring for people within my community.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.']]"
38,1,MANHATTAN,['Child services'],"[['For two weeks during winter break, I volunteered full-time at a day care.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.']]"
39,1,MANHATTAN,"['Health services', 'Social services']","[['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I really care about helping other people.']]"
40,1,BRONX,['Recreation and Leisure'],"[['I worked as a guitarist in a local restaurant for six months.'], ['I am really passionate about sports and want to teach them to other people.']]"
41,1,QUEENS,"['Social services', 'Child services']","[['I really care about helping other people.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.']]"
42,1,BRONX,"['Education', 'Child services']","[['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I believe everyone should have the right to go to school.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.']]"
43,1,BRONX,['Health services'],"[['There isn’t equal access to medical services.'], ['I enjoy helping and caring for people within my community.']]"
44,1,QUEENS,"['Health services', 'Child services']","[['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['It is so fun working with kids and I love playing with them.']]"
45,1,QUEENS,"['Technology and Innovation', 'Environment and Climate change']","[['I participated as a guest speaker in a webinar about machine learning.'], ['Helping people with technology is really cool to me.'], ['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I participated in several nature cleaning activities.']]"
46,1,BROOKLYN,['Child services'],"[['I provided support for the child and family during the child abuse investigation process.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']]"
47,0,BROOKLYN,['Child services'],"[['I provided support for the child and family during the child abuse investigation process.'], ['I really care about making the world safer for kids.']]"
48,1,QUEENS,"['Outreach and Advertising', 'Environment and Climate change', 'Advocacy and Justice']","[['I like to engage in community service and help people advertise themselves to the public.'], ['I like to engage in community service and help people advertise themselves to the public.'], ['Environmental degradation needs to be stopped.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.']]"
49,1,MANHATTAN,['Outreach and Advertising'],"[['I want to promote upcoming events hosted by local businesses or artists.'], ['I like to engage in community service and help people advertise themselves to the public.']]"
50,1,STATEN IS,"['Food and Agriculture', 'Food and Agriculture']","[['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['I think everyone should have access to enough to eat to be healthy.']]"
51,1,MANHATTAN,['Recreation and Leisure'],"[['Helping conduct swimming and other field games and mentoring team-spirit.'], ['I think play and sports are important for children’s development.']]"
52,0,MANHATTAN,"['Technology and Innovation', 'Health services']","[['I hope to salvage old computers and repurpose them into something new and usable.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.']]"
53,1,BRONX,"['Food and Agriculture', 'Education']","[['I imagine serving free food and vegetables in our local community shop.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['I would like to teach children subjects such as math and science.']]"
54,0,BROOKLYN,['Advocacy and Justice'],"[['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.']]"
55,2,MANHATTAN,"['Recreation and Leisure', 'Education', 'Child services']","[['I am really passionate about sports and want to teach them to other people.'], ['I want to host outdoor events in my community to promote active living.'], ['I would like to teach children subjects such as math and science.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['I provided support for the child and family during the child abuse investigation process.']]"
56,0,STATEN IS,"['Advocacy and Justice', 'Outreach and Advertising']","[['I want to make a difference in the world.'], ['I want to organize events aimed to raise awareness to socio-economic inequalities within our society '], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I really want to interact with the public.']]"
57,1,BRONX,['Recreation and Leisure'],"[['I am really passionate about sports and want to teach them to other people.'], ['I worked as a guitarist in a local restaurant for six months.']]"
58,2,STATEN IS,['Child services'],"[['I provided support for the child and family during the child abuse investigation process.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.']]"
59,1,QUEENS,"['Environment and Climate change', 'Outreach and Advertising', 'Food and Agriculture']","[['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I imagine serving free food and vegetables in our local community shop.']]"
60,1,BRONX,"['Technology and Innovation', 'Food and Agriculture', 'Child services']","[['Teaching basic internet applications to people and helping them with smart technology.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I provided support for the child and family during the child abuse investigation process.'], ['It is so fun working with kids and I love playing with them.']]"
61,1,BRONX,"['Food and Agriculture', 'Advocacy and Justice']","[['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']]"
62,1,MANHATTAN,"['Outreach and Advertising', 'Environment and Climate change']","[['Contributing in small startups and equipping people with the right resources.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.'], ['I participated in several nature cleaning activities.']]"
63,1,BROOKLYN,['Health services'],"[['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.']]"
64,1,MANHATTAN,['Outreach and Advertising'],"[['I like to engage in community service and help people advertise themselves to the public.'], ['I like to engage in community service and help people advertise themselves to the public.']]"
65,1,QUEENS,"['Education', 'Recreation and Leisure', 'Advocacy and Justice']","[['I would like to teach children subjects such as math and science.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['Last summer, I coached a U16 girls soccer team.'], ['I think play and sports are important for children’s development.'], ['I helped with organising several conferences and workshops related to women rights'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.']]"
66,0,BROOKLYN,"['Recreation and Leisure', 'Child services', 'Education']","[['I am really passionate about sports and want to teach them to other people.'], ['Last summer, I coached a U16 girls soccer team.'], ['I really care about making the world safer for kids.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.']]"
67,1,QUEENS,['Advocacy and Justice'],"[['I want to make a difference in the world.'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.']]"
