,Age,Borough,Interests,Biography
68,0,BRONX,"['Social services', 'Health services', 'Food and Agriculture']","[['I really care about helping other people.'], ['I really care about helping other people.'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I want to move patients from one location to another in the hospital'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.']]"
69,1,BROOKLYN,"['Education', 'Advocacy and Justice', 'Food and Agriculture']","[['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I helped with organising several conferences and workshops related to women rights'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.']]"
70,1,QUEENS,['Technology and Innovation'],"[['I hope to salvage old computers and repurpose them into something new and usable.'], ['I enjoy working with technological and electronic items as I am interested in learning about Robotics.']]"
71,1,QUEENS,"['Advocacy and Justice', 'Recreation and Leisure']","[['I want to make a difference in the world.'], ['I want to organize events aimed to raise awareness to socio-economic inequalities within our society '], ['I am really passionate about sports and want to teach them to other people.'], ['Last summer, I coached a U16 girls soccer team.']]"
72,1,STATEN IS,"['Recreation and Leisure', 'Outreach and Advertising']","[['I think play and sports are important for children’s development.'], ['I want to host outdoor events in my community to promote active living.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.']]"
73,1,QUEENS,"['Advocacy and Justice', 'Environment and Climate change', 'Child services']","[['I helped with organising several conferences and workshops related to women rights'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['Environmental degradation needs to be stopped.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I provided support for the child and family during the child abuse investigation process.']]"
74,1,BROOKLYN,['Social services'],"[['I imagine helping and fostering senior citizens with their daily needs.'], ['I really care about helping other people.']]"
75,1,QUEENS,"['Outreach and Advertising', 'Health services']","[['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I really want to interact with the public.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.']]"
76,2,BROOKLYN,"['Advocacy and Justice', 'Child services', 'Technology and Innovation']","[['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I helped with organising several conferences and workshops related to women rights'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['It is so fun working with kids and I love playing with them.'], ['I enjoy working with technological and electronic items as I am interested in learning about Robotics.'], ['I was a guest panelist for a computer science and technology webinar.']]"
77,1,BRONX,"['Food and Agriculture', 'Technology and Innovation']","[['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I hope to salvage old computers and repurpose them into something new and usable.']]"
78,0,BRONX,"['Child services', 'Advocacy and Justice']","[['For two weeks during winter break, I volunteered full-time at a day care.'], ['I really care about making the world safer for kids.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']]"
79,1,STATEN IS,"['Health services', 'Education']","[['There isn’t equal access to medical services.'], ['I want to move patients from one location to another in the hospital'], ['I would like to teach children subjects such as math and science.'], ['I believe everyone should have the right to go to school.']]"
80,1,QUEENS,"['Health services', 'Social services', 'Technology and Innovation']","[['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I would like to conduct social and psycho-social assessments'], ['I really care about helping other people.'], ['Helping people with technology is really cool to me.'], ['I enjoy working with technological and electronic items as I am interested in learning about Robotics.']]"
81,1,MANHATTAN,['Advocacy and Justice'],"[['I want to make a difference in the world.'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.']]"
82,0,BROOKLYN,['Outreach and Advertising'],"[['I really want to interact with the public.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.']]"
83,1,BROOKLYN,"['Outreach and Advertising', 'Advocacy and Justice', 'Technology and Innovation']","[['I want to promote upcoming events hosted by local businesses or artists.'], ['I really want to interact with the public.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['Helping people with technology is really cool to me.'], ['I participated as a guest speaker in a webinar about machine learning.']]"
84,1,STATEN IS,['Recreation and Leisure'],"[['I want to host outdoor events in my community to promote active living.'], ['I am really passionate about sports and want to teach them to other people.']]"
85,1,BRONX,['Food and Agriculture'],"[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I imagine serving free food and vegetables in our local community shop.']]"
86,1,BROOKLYN,"['Food and Agriculture', 'Education', 'Outreach and Advertising']","[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I would like to teach children subjects such as math and science.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.']]"
87,0,QUEENS,"['Outreach and Advertising', 'Recreation and Leisure', 'Environment and Climate change']","[['I really want to interact with the public.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I am really passionate about sports and want to teach them to other people.'], ['Helping conduct swimming and other field games and mentoring team-spirit.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.']]"
88,1,BROOKLYN,"['Health services', 'Child services', 'Social services']","[['I want to move patients from one location to another in the hospital'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I really care about making the world safer for kids.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I imagine helping and fostering senior citizens with their daily needs.']]"
89,1,QUEENS,['Environment and Climate change'],"[['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.']]"
90,1,BROOKLYN,"['Social services', 'Education']","[['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I would like to conduct social and psycho-social assessments'], ['I believe everyone should have the right to go to school.'], ['I would like to teach children subjects such as math and science.']]"
91,1,QUEENS,['Environment and Climate change'],"[['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.']]"
92,1,BRONX,"['Education', 'Outreach and Advertising']","[['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['At a summer bootcamp, I taught French to primary and secondary school students.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['Throughout my university years, I was the outreach coordinator for my program.']]"
93,0,BRONX,['Environment and Climate change'],"[['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.']]"
94,1,QUEENS,"['Recreation and Leisure', 'Child services']","[['Last summer, I coached a U16 girls soccer team.'], ['Helping conduct swimming and other field games and mentoring team-spirit.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['It is so fun working with kids and I love playing with them.']]"
95,1,MANHATTAN,"['Social services', 'Advocacy and Justice']","[['I would like to conduct social and psycho-social assessments'], ['I helped with preparing food for the homeless'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I want to make a difference in the world.']]"
96,1,STATEN IS,['Recreation and Leisure'],"[['Helping conduct swimming and other field games and mentoring team-spirit.'], ['Helping conduct swimming and other field games and mentoring team-spirit.']]"
97,1,MANHATTAN,"['Food and Agriculture', 'Health services', 'Advocacy and Justice']","[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['There isn’t equal access to medical services.'], ['I want to move patients from one location to another in the hospital'], ['I want to make a difference in the world.'], ['I helped with organising several conferences and workshops related to women rights']]"
98,1,QUEENS,"['Outreach and Advertising', 'Recreation and Leisure']","[['I really want to interact with the public.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['Last summer, I coached a U16 girls soccer team.'], ['I think play and sports are important for children’s development.']]"
99,1,BROOKLYN,['Food and Agriculture'],"[['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I think everyone should have access to enough to eat to be healthy.']]"
100,1,BROOKLYN,"['Social services', 'Environment and Climate change', 'Social services']","[['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I helped with preparing food for the homeless'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['Environmental degradation needs to be stopped.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I helped with preparing food for the homeless']]"
101,2,BROOKLYN,"['Advocacy and Justice', 'Child services']","[['I want to make a difference in the world.'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']]"
102,0,BRONX,"['Education', 'Outreach and Advertising', 'Food and Agriculture']","[['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I would like to teach children subjects such as math and science.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.']]"
103,1,BRONX,['Food and Agriculture'],"[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I think everyone should have access to enough to eat to be healthy.']]"
104,1,BRONX,"['Social services', 'Child services']","[['I imagine helping and fostering senior citizens with their daily needs.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I provided support for the child and family during the child abuse investigation process.']]"
105,1,BROOKLYN,"['Social services', 'Food and Agriculture', 'Recreation and Leisure']","[['I really care about helping other people.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I think play and sports are important for children’s development.'], ['I worked as a guitarist in a local restaurant for six months.']]"
106,1,MANHATTAN,"['Environment and Climate change', 'Child services', 'Food and Agriculture']","[['I participated in several nature cleaning activities.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['I really care about making the world safer for kids.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.']]"
107,1,QUEENS,['Social services'],"[['I helped with preparing food for the homeless'], ['I would like to conduct social and psycho-social assessments']]"
108,1,QUEENS,"['Technology and Innovation', 'Child services']","[['Helping people with technology is really cool to me.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I really care about making the world safer for kids.']]"
109,1,BRONX,"['Social services', 'Technology and Innovation', 'Food and Agriculture']","[['I really care about helping other people.'], ['I would like to conduct social and psycho-social assessments'], ['I participated as a guest speaker in a webinar about machine learning.'], ['Helping people with technology is really cool to me.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.']]"
110,2,QUEENS,"['Social services', 'Recreation and Leisure', 'Outreach and Advertising']","[['I really care about helping other people.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['Last summer, I coached a U16 girls soccer team.'], ['I think play and sports are important for children’s development.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['I want to promote upcoming events hosted by local businesses or artists.']]"
111,1,MANHATTAN,"['Technology and Innovation', 'Technology and Innovation']","[['I participated as a guest speaker in a webinar about machine learning.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['Helping people with technology is really cool to me.'], ['I participated as a guest speaker in a webinar about machine learning.']]"
112,1,BRONX,"['Technology and Innovation', 'Outreach and Advertising']","[['I participated as a guest speaker in a webinar about machine learning.'], ['Helping people with technology is really cool to me.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I really want to interact with the public.']]"
113,1,QUEENS,['Education'],"[['I would like to teach children subjects such as math and science.'], ['I helped as a learning and development coordinator for AI4Good summer lab.']]"
114,1,MANHATTAN,"['Recreation and Leisure', 'Outreach and Advertising']","[['I am really passionate about sports and want to teach them to other people.'], ['I am really passionate about sports and want to teach them to other people.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I like to engage in community service and help people advertise themselves to the public.']]"
115,0,BROOKLYN,['Food and Agriculture'],"[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.']]"
116,1,BROOKLYN,"['Advocacy and Justice', 'Recreation and Leisure']","[['I want to make a difference in the world.'], ['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I am really passionate about sports and want to teach them to other people.'], ['Helping conduct swimming and other field games and mentoring team-spirit.']]"
117,1,BRONX,"['Education', 'Food and Agriculture', 'Social services']","[['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I helped with preparing food for the homeless']]"
118,1,MANHATTAN,['Social services'],"[['I imagine helping and fostering senior citizens with their daily needs.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.']]"
119,1,MANHATTAN,"['Environment and Climate change', 'Advocacy and Justice', 'Environment and Climate change']","[['I want to help conduct a protest outside of the city centre to raise awareness for climate change.'], ['Environmental degradation needs to be stopped.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I take social issues such as gender discrimination very seriously and want to create an equitable society.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.']]"
120,1,MANHATTAN,"['Environment and Climate change', 'Recreation and Leisure', 'Food and Agriculture']","[['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['Environmental degradation needs to be stopped.'], ['I am really passionate about sports and want to teach them to other people.'], ['I am really passionate about sports and want to teach them to other people.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.']]"
121,1,BROOKLYN,['Health services'],"[['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I enjoy helping and caring for people within my community.']]"
122,1,BROOKLYN,['Environment and Climate change'],"[['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.']]"
123,1,MANHATTAN,"['Child services', 'Outreach and Advertising', 'Recreation and Leisure']","[['For two weeks during winter break, I volunteered full-time at a day care.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I want to host outdoor events in my community to promote active living.'], ['I think play and sports are important for children’s development.']]"
124,1,MANHATTAN,"['Recreation and Leisure', 'Social services']","[['I worked as a guitarist in a local restaurant for six months.'], ['I want to host outdoor events in my community to promote active living.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.']]"
125,1,QUEENS,"['Advocacy and Justice', 'Environment and Climate change', 'Advocacy and Justice']","[['I want to make a difference in the world.'], ['I take social issues such as gender discrimination very seriously and want to create an equitable society.'], ['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I participated in several nature cleaning activities.'], ['I want to make a difference in the world.'], ['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']]"
126,1,MANHATTAN,['Social services'],"[['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I would like to conduct social and psycho-social assessments']]"
127,1,BRONX,['Food and Agriculture'],"[['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.']]"
128,1,BRONX,"['Food and Agriculture', 'Advocacy and Justice']","[['I imagine serving free food and vegetables in our local community shop.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['I helped with organising several conferences and workshops related to women rights'], ['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']]"
129,1,BROOKLYN,['Technology and Innovation'],"[['I enjoy working with technological and electronic items as I am interested in learning about Robotics.'], ['Helping people with technology is really cool to me.']]"
130,1,QUEENS,"['Health services', 'Health services']","[['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['There isn’t equal access to medical services.']]"
131,1,MANHATTAN,"['Advocacy and Justice', 'Advocacy and Justice']","[['I imagine standing up for people/animals less spoken for, through petitions and marches.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I want to make a difference in the world.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.']]"
132,1,STATEN IS,"['Advocacy and Justice', 'Health services', 'Education']","[['I want to organize events aimed to raise awareness to socio-economic inequalities within our society '], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I want to move patients from one location to another in the hospital'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I believe everyone should have the right to go to school.']]"
133,0,QUEENS,"['Technology and Innovation', 'Education', 'Food and Agriculture']","[['Helping people with technology is really cool to me.'], ['I hope to salvage old computers and repurpose them into something new and usable.'], ['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.']]"
