,Age,Borough,Interests,Biography
134,1,BRONX,"['Social services', 'Environment and Climate change']","[['I helped with preparing food for the homeless'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['Environmental degradation needs to be stopped.'], ['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.']]"
135,2,BROOKLYN,"['Technology and Innovation', 'Technology and Innovation', 'Health services']","[['Helping people with technology is really cool to me.'], ['I was a guest panelist for a computer science and technology webinar.'], ['Helping people with technology is really cool to me.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I enjoy helping and caring for people within my community.']]"
136,1,QUEENS,['Child services'],"[['I really care about making the world safer for kids.'], ['I really care about making the world safer for kids.']]"
137,2,BROOKLYN,"['Recreation and Leisure', 'Food and Agriculture', 'Food and Agriculture']","[['Helping conduct swimming and other field games and mentoring team-spirit.'], ['Last summer, I coached a U16 girls soccer team.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.']]"
138,0,BROOKLYN,['Health services'],"[['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.']]"
139,1,MANHATTAN,"['Education', 'Child services']","[['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['For two weeks during winter break, I volunteered full-time at a day care.']]"
140,1,QUEENS,"['Child services', 'Recreation and Leisure', 'Outreach and Advertising']","[['For two weeks during winter break, I volunteered full-time at a day care.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I want to host outdoor events in my community to promote active living.'], ['I think play and sports are important for children’s development.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['Throughout my university years, I was the outreach coordinator for my program.']]"
141,1,QUEENS,"['Education', 'Technology and Innovation']","[['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['Teaching basic internet applications to people and helping them with smart technology.'], ['Teaching basic internet applications to people and helping them with smart technology.']]"
142,2,BRONX,['Outreach and Advertising'],"[['I really want to interact with the public.'], ['I want to promote upcoming events hosted by local businesses or artists.']]"
143,0,BRONX,"['Health services', 'Social services', 'Food and Agriculture']","[['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I would like to conduct social and psycho-social assessments'], ['I imagine serving free food and vegetables in our local community shop.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.']]"
144,0,BROOKLYN,"['Outreach and Advertising', 'Technology and Innovation', 'Outreach and Advertising']","[['Throughout my university years, I was the outreach coordinator for my program.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I enjoy working with technological and electronic items as I am interested in learning about Robotics.'], ['I hope to salvage old computers and repurpose them into something new and usable.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I really want to interact with the public.']]"
145,1,STATEN IS,"['Outreach and Advertising', 'Outreach and Advertising', 'Child services']","[['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['I really want to interact with the public.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I provided support for the child and family during the child abuse investigation process.']]"
146,1,MANHATTAN,"['Education', 'Food and Agriculture']","[['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I would like to teach children subjects such as math and science.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I imagine serving free food and vegetables in our local community shop.']]"
147,1,QUEENS,"['Outreach and Advertising', 'Technology and Innovation', 'Health services']","[['Throughout my university years, I was the outreach coordinator for my program.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.'], ['I was a guest panelist for a computer science and technology webinar.'], ['Teaching basic internet applications to people and helping them with smart technology.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I enjoy helping and caring for people within my community.']]"
148,1,BROOKLYN,['Outreach and Advertising'],"[['Contributing in small startups and equipping people with the right resources.'], ['I really want to interact with the public.']]"
149,2,STATEN IS,['Food and Agriculture'],"[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.']]"
150,1,BROOKLYN,['Recreation and Leisure'],"[['I worked as a guitarist in a local restaurant for six months.'], ['I worked as a guitarist in a local restaurant for six months.']]"
151,2,BRONX,"['Child services', 'Social services']","[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I really care about making the world safer for kids.'], ['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I helped with preparing food for the homeless']]"
152,1,QUEENS,"['Health services', 'Environment and Climate change']","[['I want to move patients from one location to another in the hospital'], ['There isn’t equal access to medical services.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.']]"
153,1,MANHATTAN,"['Environment and Climate change', 'Food and Agriculture', 'Outreach and Advertising']","[['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['I imagine serving free food and vegetables in our local community shop.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I really want to interact with the public.']]"
154,2,QUEENS,"['Environment and Climate change', 'Recreation and Leisure']","[['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['Environmental degradation needs to be stopped.'], ['I want to host outdoor events in my community to promote active living.'], ['I worked as a guitarist in a local restaurant for six months.']]"
155,1,QUEENS,"['Education', 'Recreation and Leisure', 'Education']","[['I believe everyone should have the right to go to school.'], ['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I am really passionate about sports and want to teach them to other people.'], ['I worked as a guitarist in a local restaurant for six months.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['At a summer bootcamp, I taught French to primary and secondary school students.']]"
156,1,MANHATTAN,['Child services'],"[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']]"
157,1,BROOKLYN,['Advocacy and Justice'],"[['I want to organize events aimed to raise awareness to socio-economic inequalities within our society '], ['I take social issues such as gender discrimination very seriously and want to create an equitable society.']]"
158,1,MANHATTAN,"['Technology and Innovation', 'Outreach and Advertising', 'Child services']","[['Teaching basic internet applications to people and helping them with smart technology.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I really care about making the world safer for kids.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']]"
159,1,QUEENS,"['Health services', 'Recreation and Leisure']","[['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['There isn’t equal access to medical services.'], ['I am really passionate about sports and want to teach them to other people.'], ['I want to host outdoor events in my community to promote active living.']]"
160,1,BROOKLYN,['Recreation and Leisure'],"[['I am really passionate about sports and want to teach them to other people.'], ['Last summer, I coached a U16 girls soccer team.']]"
161,1,MANHATTAN,"['Social services', 'Social services']","[['I helped with preparing food for the homeless'], ['I would like to conduct social and psycho-social assessments'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I really care about helping other people.']]"
162,1,MANHATTAN,['Environment and Climate change'],"[['I participated in several nature cleaning activities.'], ['Environmental degradation needs to be stopped.']]"
163,0,QUEENS,"['Environment and Climate change', 'Technology and Innovation', 'Child services']","[['Environmental degradation needs to be stopped.'], ['Environmental degradation needs to be stopped.'], ['Teaching basic internet applications to people and helping them with smart technology.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['I provided support for the child and family during the child abuse investigation process.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.']]"
164,1,QUEENS,"['Environment and Climate change', 'Recreation and Leisure', 'Outreach and Advertising']","[['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['I participated in several nature cleaning activities.'], ['I am really passionate about sports and want to teach them to other people.'], ['Helping conduct swimming and other field games and mentoring team-spirit.'], ['I like to engage in community service and help people advertise themselves to the public.'], ['I really want to interact with the public.']]"
165,1,STATEN IS,"['Health services', 'Environment and Climate change', 'Advocacy and Justice']","[['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I participated in several nature cleaning activities.'], ['Environmental degradation needs to be stopped.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I helped with organising several conferences and workshops related to women rights']]"
166,0,BRONX,"['Education', 'Recreation and Leisure']","[['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['Helping conduct swimming and other field games and mentoring team-spirit.'], ['Last summer, I coached a U16 girls soccer team.']]"
167,1,QUEENS,['Technology and Innovation'],"[['I was a guest panelist for a computer science and technology webinar.'], ['I enjoy working with technological and electronic items as I am interested in learning about Robotics.']]"
168,1,BROOKLYN,"['Food and Agriculture', 'Technology and Innovation']","[['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I enjoy working with technological and electronic items as I am interested in learning about Robotics.'], ['I was a guest panelist for a computer science and technology webinar.']]"
169,1,BRONX,"['Health services', 'Recreation and Leisure', 'Food and Agriculture']","[['There isn’t equal access to medical services.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I worked as a guitarist in a local restaurant for six months.'], ['I want to host outdoor events in my community to promote active living.'], ['I think everyone should have access to enough to eat to be healthy.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.']]"
170,1,BROOKLYN,"['Recreation and Leisure', 'Child services']","[['I am really passionate about sports and want to teach them to other people.'], ['Last summer, I coached a U16 girls soccer team.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['I really care about making the world safer for kids.']]"
171,1,QUEENS,"['Environment and Climate change', 'Recreation and Leisure', 'Education']","[['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['I participated in several nature cleaning activities.'], ['I am really passionate about sports and want to teach them to other people.'], ['I think play and sports are important for children’s development.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I believe everyone should have the right to go to school.']]"
172,1,QUEENS,"['Child services', 'Child services']","[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['I really care about making the world safer for kids.']]"
173,1,QUEENS,"['Child services', 'Outreach and Advertising']","[['I provided support for the child and family during the child abuse investigation process.'], ['I really care about making the world safer for kids.'], ['Contributing in small startups and equipping people with the right resources.'], ['I want to promote upcoming events hosted by local businesses or artists.']]"
174,0,QUEENS,['Education'],"[['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I would like to teach children subjects such as math and science.']]"
175,1,BROOKLYN,"['Recreation and Leisure', 'Food and Agriculture']","[['I want to host outdoor events in my community to promote active living.'], ['I worked as a guitarist in a local restaurant for six months.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.']]"
176,1,MANHATTAN,"['Technology and Innovation', 'Child services', 'Recreation and Leisure']","[['Helping people with technology is really cool to me.'], ['Helping people with technology is really cool to me.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['I provided support for the child and family during the child abuse investigation process.'], ['Helping conduct swimming and other field games and mentoring team-spirit.'], ['Helping conduct swimming and other field games and mentoring team-spirit.']]"
177,2,MANHATTAN,"['Education', 'Food and Agriculture']","[['I believe everyone should have the right to go to school.'], ['I would like to teach children subjects such as math and science.'], ['I worked as a farmer and mentor in Plainfield Heritage Farm.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.']]"
178,1,BROOKLYN,['Recreation and Leisure'],"[['I am really passionate about sports and want to teach them to other people.'], ['Last summer, I coached a U16 girls soccer team.']]"
179,1,QUEENS,['Child services'],"[['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['I provided support for the child and family during the child abuse investigation process.']]"
180,1,QUEENS,"['Health services', 'Environment and Climate change']","[['I want to move patients from one location to another in the hospital'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.']]"
181,1,BROOKLYN,"['Health services', 'Health services']","[['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I worked as a nurse in a hospital during Covid when there was lack of workforce.'], ['I enjoy helping and caring for people within my community.']]"
182,1,MANHATTAN,['Advocacy and Justice'],"[['I take social issues such as gender discrimination very seriously and want to create an equitable society.'], ['I helped with organising several conferences and workshops related to women rights']]"
183,2,BRONX,"['Social services', 'Child services']","[['I sorted and tagged clothing donations for homeless people at Salvation army for three years.'], ['I helped with preparing food for the homeless'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']]"
184,1,STATEN IS,"['Child services', 'Education']","[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I believe everyone should have the right to go to school.']]"
185,1,MANHATTAN,"['Recreation and Leisure', 'Food and Agriculture', 'Technology and Innovation']","[['I think play and sports are important for children’s development.'], ['I am really passionate about sports and want to teach them to other people.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.'], ['Teaching basic internet applications to people and helping them with smart technology.'], ['I hope to salvage old computers and repurpose them into something new and usable.']]"
186,1,BRONX,"['Health services', 'Technology and Innovation']","[['I want to move patients from one location to another in the hospital'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I participated as a guest speaker in a webinar about machine learning.']]"
187,1,BRONX,"['Education', 'Outreach and Advertising']","[['I would like to teach children subjects such as math and science.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['I want to promote upcoming events hosted by local businesses or artists.']]"
188,0,QUEENS,"['Health services', 'Environment and Climate change']","[['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['There isn’t equal access to medical services.'], ['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.']]"
189,0,BROOKLYN,"['Advocacy and Justice', 'Child services']","[['I helped with organising several conferences and workshops related to women rights'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['It is so fun working with kids and I love playing with them.'], ['I really care about making the world safer for kids.']]"
190,1,BROOKLYN,"['Outreach and Advertising', 'Education']","[['I like to engage in community service and help people advertise themselves to the public.'], ['I really want to interact with the public.'], ['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.']]"
191,2,BROOKLYN,"['Social services', 'Recreation and Leisure']","[['I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.'], ['I would like to conduct social and psycho-social assessments'], ['I want to host outdoor events in my community to promote active living.'], ['I worked as a guitarist in a local restaurant for six months.']]"
192,0,QUEENS,"['Education', 'Recreation and Leisure']","[['I helped as a learning and development coordinator for AI4Good summer lab.'], ['At a summer bootcamp, I taught French to primary and secondary school students.'], ['I worked as a guitarist in a local restaurant for six months.'], ['I worked as a guitarist in a local restaurant for six months.']]"
193,1,QUEENS,['Child services'],"[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['It is so fun working with kids and I love playing with them.']]"
194,1,BRONX,['Recreation and Leisure'],"[['I want to host outdoor events in my community to promote active living.'], ['I am really passionate about sports and want to teach them to other people.']]"
195,2,BRONX,"['Child services', 'Recreation and Leisure', 'Outreach and Advertising']","[['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['I provided support for the child and family during the child abuse investigation process.'], ['I am really passionate about sports and want to teach them to other people.'], ['Last summer, I coached a U16 girls soccer team.'], ['I really want to interact with the public.'], ['Worked as an outreach program coordinator for Edmonton Horticultural Society.']]"
196,2,BROOKLYN,"['Social services', 'Social services']","[['I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I really care about helping other people.'], ['I would like to conduct social and psycho-social assessments']]"
197,1,BRONX,['Advocacy and Justice'],"[['I want to organize events aimed to raise awareness to socio-economic inequalities within our society '], ['I helped with organising several conferences and workshops related to women rights']]"
198,1,MANHATTAN,"['Food and Agriculture', 'Technology and Innovation', 'Advocacy and Justice']","[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I hope to salvage old computers and repurpose them into something new and usable.'], ['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.'], ['I helped with organising several conferences and workshops related to women rights']]"
199,1,MANHATTAN,"['Child services', 'Child services', 'Child services']","[['For two weeks during winter break, I volunteered full-time at a day care.'], ['It is so fun working with kids and I love playing with them.'], ['It is so fun working with kids and I love playing with them.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['I provided support for the child and family during the child abuse investigation process.']]"
